Task Name,Model Associated,Order,Description,Tcode Associated
Create new/ modify/ upload task list,6.3.4.1F Create/ Update I&Q Task List 1.00,2,"Key activities:
Create modify existing task list in such a way they best represent:
- The order of the installation tasks,
- The effort of each of those tasks
and incorporate all milestones required for reporting.","Fiori IA05: Create general task list (Application),
Fiori IA06: Change General Maintenance Task List (Application),
SAP ZCS_FSM_TLIST_UPLOAD: FSM Task List Upload (Application)"
Create OFE ER,3.5.4.4A OFE ER Phase: Creation [10] + Order Intake [20] 2.00,26,"Key Activities:
Create a new OFE ER in the SAP Web UI:
Select Menu: Engineering Record (a.k.a.: ER)> Create ER
On the screen: Create ER:Select: ER Type = ZOFE
Enter: ER Description (Containing a key ID of the order)
Enter: Change Coordinator (Assigned Configuration Engineer)
Enter: Target run in date = Current Date + 1
Optimal enter the number of a template ER to reduce subsequent setup.
(For the templates overview by product-line see the link in the attachment section)
Use the button: Continue.
On the next screen use the button: Save.
The ER will be stored in SAP, an ER number will be assigned.
This completes the task: OFE creation.","SAP IPS OFE Workflow (Order Fullment Equipment Engineering Record) (Inteligent Process System -Workflow engine by LeverX-) (Application),
SAP NWBC: (NetWeaver Business Client) (Application)"
Create Opportunity,3.5.1.6 Manage Opportunity Pipeline 1.00,2,,SAP CRM - Opportunity (Customer Relationship Management) (Application)
Create or update Process Document,13.1.3.4 Model and document processes 1.00,13,"Use the templates for Global Policies and Work Instructions, see reference linked to this task, directing to the Process Management SharePoint site.
For Process Diagrams (ADONIS), see reference linked to the Business Process Management SharePoint site. Process Diagrams must have the APQC name, see reference to APQC model also linked to this task.",ADONIS (Design & Document) (BOC group) (Application)
"Create or update: Measurement Document ""Wafer Count"", based on Return Traveler Form",6.3.4.1H Creation of Measurement Points and Documents 1.00,10,"Automated task
Auto created update or manually entered “Wafer Count” from Return Traveler Form",Fiori IK11: Create Measuring Document (Application)
Create Outbound Delivery,6.2.4.1 -SP Process returns (ARM) 1.00,50,"outbound delivery is created via batch job; however, in some regions it will be ISR to manually create and contact logistics",
Create Outbound Delivery,4.2.4.4B Distribute Purchase Order 2.00,60,,"Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application),
Fiori VL10B: My Purchase Orders - Due for Delivery (Application)"
Create Outbound Delivery,3.5.4.5A Enter Sales Orders into system 1.00,3,,Fiori VL01N: Create Outbound Delivery - With Order Reference (Application)
Create Outbound Delivery,4.2.4.4B Distribute Purchase Order 2.00,22,,Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application)
Create Outbound Delivery,4.2.4.4B Distribute Purchase Order 2.00,65,,"Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application),
Fiori VL01N: Create Outbound Delivery - With Order Reference (Application),
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery (Application),
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery (Application),
Fiori VL10: My Sales Order Due for Delivery - Edit User-Specific Criteria (Application),
Fiori VL10A: My Sales Orders - Due for Delivery (Application),
Fiori VL10B: My Purchase Orders - Due for Delivery (Application),
Fiori VL10C: My Sales Order Items - Due for Delivery (Application),
Fiori VL10D: My Purchase Order Items - Due for Delivery (Application),
Fiori VL10E: My Sales Order Schedule Lines - Due for Delivery (Application),
Fiori VL10F: My Purchase Order Schedule Lines - Due for Delivery (Application),
Fiori VL10G: My Documents - Due for Delivery (Application),
Fiori VL10H: My Items - Due for Delivery (Application),
Fiori VL10I: My Schedule Lines - Due for Delivery (Application),
Fiori VL10X: VL10 (technical) (Application),
Fiori VL71: Print Inbound Delivery - Manually. Print Outbound Delivery - Manually (Application)"
Create Outbound Delivery,4.2.4.4A Create/Distribute Purchase Orders 2.00,58,,"Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application),
Fiori VL01N: Create Outbound Delivery - With Order Reference (Application),
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery (Application),
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery (Application),
Fiori VL10: My Sales Order Due for Delivery - Edit User-Specific Criteria (Application),
Fiori VL10A: My Sales Orders - Due for Delivery (Application),
Fiori VL10B: My Purchase Orders - Due for Delivery (Application),
Fiori VL10C: My Sales Order Items - Due for Delivery (Application),
Fiori VL10D: My Purchase Order Items - Due for Delivery (Application),
Fiori VL10E: My Sales Order Schedule Lines - Due for Delivery (Application),
Fiori VL10F: My Purchase Order Schedule Lines - Due for Delivery (Application),
Fiori VL10G: My Documents - Due for Delivery (Application),
Fiori VL10H: My Items - Due for Delivery (Application),
Fiori VL10I: My Schedule Lines - Due for Delivery (Application),
Fiori VL10X: VL10 (technical) (Application),
Fiori VL71: Print Inbound Delivery - Manually. Print Outbound Delivery - Manually (Application)"
Create Outbound Delivery,4.2.4.4B Distribute Purchase Order 2.00,62,,Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application)
Create Outbound Delivery,3.5.4.5A Enter Sales Orders into system 1.00,106,,"Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application),
Fiori VL01N: Create Outbound Delivery - With Order Reference (Application),
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery (Application),
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery (Application),
Fiori VL10: My Sales Order Due for Delivery - Edit User-Specific Criteria (Application),
Fiori VL10A: My Sales Orders - Due for Delivery (Application),
Fiori VL10B: My Purchase Orders - Due for Delivery (Application),
Fiori VL10C: My Sales Order Items - Due for Delivery (Application),
Fiori VL10D: My Purchase Order Items - Due for Delivery (Application),
Fiori VL10E: My Sales Order Schedule Lines - Due for Delivery (Application),
Fiori VL10F: My Purchase Order Schedule Lines - Due for Delivery (Application),
Fiori VL10G: My Documents - Due for Delivery (Application),
Fiori VL10H: My Items - Due for Delivery (Application),
Fiori VL10I: My Schedule Lines - Due for Delivery (Application),
Fiori VL10X: VL10 (technical) (Application),
Fiori VL71: Print Inbound Delivery - Manually. Print Outbound Delivery - Manually (Application)"
Create Outbound Delivery,4.4.2.2B Manage Inbound Material Flow (distribution) 1.00,21,,
Create Outbound Delivery,3.5.4.5A Enter Sales Orders into system 1.00,83,,"Fiori ME2ON: Display Subcontracting Stocks by Supplier for Purchaser (Application),
Fiori VL01N: Create Outbound Delivery - With Order Reference (Application),
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery (Application),
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery (Application),
Fiori VL10: My Sales Order Due for Delivery - Edit User-Specific Criteria (Application),
Fiori VL10A: My Sales Orders - Due for Delivery (Application),
Fiori VL10B: My Purchase Orders - Due for Delivery (Application),
Fiori VL10C: My Sales Order Items - Due for Delivery (Application),
Fiori VL10D: My Purchase Order Items - Due for Delivery (Application),
Fiori VL10E: My Sales Order Schedule Lines - Due for Delivery (Application),
Fiori VL10F: My Purchase Order Schedule Lines - Due for Delivery (Application),
Fiori VL10G: My Documents - Due for Delivery (Application),
Fiori VL10H: My Items - Due for Delivery (Application),
Fiori VL10I: My Schedule Lines - Due for Delivery (Application),
Fiori VL10X: VL10 (technical) (Application),
Fiori VL71: Print Inbound Delivery - Manually. Print Outbound Delivery - Manually (Application)"
"Create Paid service order(ZMPD) ,input PO# and select PM activity type, Release",5.3.3.5 -RP>PD Change non Paid (ZMRP) to Paid (ZMPD) Service Order 1.00,9,,Fiori IW31: Create Order (Application)
Create Paid Service Sales Request type: ZLV,5.3.3.5 -PD Complete Service Order ZMPD: PaiD 1.00,26,"Key actions:
Service CSR to upload Service Report to customer online system (EX: tsmc Supply on line)
Service CSR to create Paid Service Sales Request type: ZLV
(formerly known as billing request)",Fiori DP90: Create Resource-Related Billing Request (Application)
Create parameter to start Dunning Run,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,8,"Customer Master data details:
All the 3rd party customers in the Business Partner (BP) to be allowed for dunning by default.
However, Accounts Receivable Invoice Accountant will determine the selective customers required for the actual dunning and then input in SAP which customer to run for dunning.
They will check through the generated list of dunning reminders",Fiori F2435: My Dunning Proposals for Accounts Receivable Accountant (Application)
Create parameter to start Pre-Dunning Run,9.2.3.2 -DUN Receive/Deposit customer payments (Dunning) 1.00,2,"Customer Master data details:
All the 3rd party customers in the Business Partner (BP) to be allowed for dunning by default.
However, Accounts Receivable Invoice Accountant will determine the selective customers required for the actual dunning and then input in SAP which customer to run for dunning.
They will check through the generated list of dunning reminders","Fiori F150: Create Dunning Notices for Accounts Receivable Accountant (Application),
Fiori F2435: My Dunning Proposals for Accounts Receivable Accountant (Application)"
Create Parent Material for Forecast BOM,4.1.3.1 -FCST Create Unconstrained Plan 3.00,33,,Fiori MM01: Create Material (Application)
Create payment proposal,9.6.1.8 -PAY ADHOC Process payments (Automatic Payment Run – Ad-hoc) 1.00,18,,Fiori F110: Schedule Automatic Payments (Application)
Create Period Close Tasks,9.3.1.5 Establish common financial systems (FCC) 1.00,3,Create Period Close Tasks in Manage Task Template,"Fiori FCLOCOC: Manage Task Templates - SAP S/4HANA Financial Closing cockpit (Application),
S/4HANA - FCC (Financial Closing Cockpit) (SAP) (Application)"
Create PGR activity indicating all details to enable regular receiving,4.4.2.2 -PGR Manage Inbound Material Flow (Problematic Goods Receipt) 1.00,10,,Fiori : Create Activity - Procurement (Application)
Create PGR activity stating vendor freight forwarder return prick-up details,4.4.2.2 -PGR Manage Inbound Material Flow (Problematic Goods Receipt) 1.00,12,,Fiori : Create Activity - Procurement (Application)
"Create PGR activity, label(s)",4.4.2.2 -PGR Manage Inbound Material Flow (Problematic Goods Receipt) 1.00,19,PGR: Problematic Goods Receipt,"Fiori : Create Activity - Procurement (Application),
SAP ZIM_RFID_IND: Print RFID Indirect (Application)"
Create Physical Inventory Document,4.4.3.5 -CC Track inventory accuracy (Cycle Count) 1.00,4,"PID = Physical Inventory Document
Key activities:
For cycle counting, PID will be created through a custom program
For annual count, PID will be generated for all storage bins together","Fiori /SCWM/PI_CC_CREATE: Create Inventory Documents - Cycle Counting (Application),
Fiori /SCWM/PI_CREATE: Create Physical Inventory - Documents for Warehouse Clerk (Extended Warehouse Management) (Application),
Fiori /SCWM/PI_DOC_CREATE: Create Inventory Documents - Physical Inventory (Application),
Fiori MI01: Create Single PI Document (Application),
Fiori MI31: Create PI Documents - Regular Stock (Application)"
Create Picking warehouse task,4.4.3.1A Manage and track inventory deployment 2.00,4,,SAP ZEWM_PICKSFO: Creation of Warehouse Tasks from SFO (Application)
Create PO in entry plan (to be picked up by buyer),4.1.7.3 Establish dynamic deployment policies 2.00,39,,
Create Pooled Capacity Details,4.1.1.5 -EQ Define Capacities 2.00,28,,Fiori CR11: Create Capacity (Application)
