Tcode Name,Description
Fiori IW59: Display Service Notification List,
Fiori IW63: Display Historical PM Order,
Fiori IW64: Change Activities,
Fiori IW65: Display activities,
Fiori IW66: Change Tasks,
Fiori IW67: Display Tasks,
Fiori IW69: Display Notification Items,
Fiori IWBK: Display Material Availability (IWBK),
Fiori J3RFF4: Generate Cash Flow Statement - Russia for General Ledger Accountant for Russian Federation,
"Fiori J3RKKRL: Account Balances - Local Currency - Russia, Account Balances - Local Currency - Ukraine",
Fiori KAH1: Create Cost Element Groups for Cost Accountant - Overhead,
Fiori KAH2: Edit Cost Element Groups for Cost Accountant - Overhead,
Fiori KAH3: Display Cost Element Groups for Cost Accountant - Overhead,
Fiori KB11N: Enter Manual Cost Repostings,
Fiori KB13N: Display Manual Cost Repostings,
Fiori KB15N: Enter Manual Cost Allocations for Cost Accountant - Overhead,
Fiori KB16N: Display Manual Cost Allocations for Cost Accountant - Overhead,
Fiori KB21N: Enter Direct Activity Allocation for Cost Accountant - Overhead,
Fiori KB23N: Display Direct Activity Allocation for Cost Accountant - Overhead,
Fiori KB24N: Reverse Direct Activity Allocation for Cost Accountant - Overhead,
Fiori KB31N: Enter Statistical Key Figures for Cost Accountant - Overhead,
Fiori KB33N: Display Statistical Key Figures for Cost Accountant - Overhead,
Fiori KB43N: Display Manual Revenue Repostings,
Fiori KB51N: Enter Services - Sender,
Fiori KB53N: Display Services - Sender,
Fiori KB61: Enter Line Item Repostings - Cost Management,
Fiori KB63: Display Line Item Repostings - Cost Management,
Fiori KB64: Reverse Line Item Repostings - Cost Management,
Fiori KB65: Enter Activity Allocation Reposting - Indirect Allocation,
Fiori KB66: Display Activity Allocation Reposting - Indirect Allocation,
Fiori KB67: Reverse Activity Allocation Reposting - Indirect Allocation,
Fiori KBH3: Display Statistical Key Figure Group for Cost Accountant - Overhead,
Fiori KBK6: Edit Manual Price - Cost Centers - Actual,
Fiori KBK7: Display Manual Prices - Cost Centers - Actual,
Fiori KBN23N: Display Direct Activity Allocation for Cost Accountant - Overhead,
Fiori KE24: Display Actual Line Items - Profitability Analysis,
Fiori KE28: Display Actual Line Items - Profitability Analysis,
Fiori KE30: Run Profitability Report - Profitability Analysis,
Fiori KE33: Display Reports - Profitability Analysis,
Fiori KE51: Manage Profit Centers,
Fiori KE53: Display Profit Center,
Fiori KE56: Edit Company Code Assignment - Profit Centers for Divisional Accountant,
Fiori KE5Z: Profit Center: Actual Line Items - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 07 Sep 2024)"
Fiori KEU1: Create Overhead Allocation Cycles - Profitability Analysis for Cost Accountant - Sales,
Fiori KEU2: Edit Overhead Allocation Cycles - Profitability Analysis for Cost Accountant - Sales,
Fiori KEU3: Display Overhead Allocation Cycles - Profitability Analysis for Cost Accountant - Sales,
Fiori KEU4: Delete Overhead Allocation Cycles - Profitability Analysis for Cost Accountant - Sales,
Fiori KEU5: Run Actual Overhead Allocation - Profitability Analysis for Cost Accountant - Sales,
Fiori KKA0: Set Results Analysis Cutoff Period - Actual,
Fiori KKA1: Run Results Analysis - Orders,
Fiori KKA2: Run Results Analysis - Projects,
Fiori KKA3: Display Sales Document Item Results - Sales Orders,
Fiori KKA7: Delete Results Analysis Data - Orders,
Fiori KKA8: Delete Results Analysis Data - Projects,
Fiori KKA9: Delete Results Analysis Data - Sales Orders,
Fiori KKAA: Display Results Analysis Line Items - Sales Orders,
Fiori KKAC: Display Sales Order Hierarchies,
"Fiori KKAH: Define Sales Order Selection, Sales Order Selection for Cost Accountant - Sales",
Fiori KKAI: Run Results Analysis - Orders - Collective,
Fiori KKAJ: Run Results Analysis - Projects - Collective for Cost Accountant - Sales,
Fiori KKAK: Display Actual Results Analysis - Sales Orders,
Fiori KKAL: Display Results Analysis Logs - Orders,
Fiori KKAN: Delete Results Analysis Logs - Orders,
Fiori KKAO: Calculate Work in Process - Collective for Cost Accountant - Production,
Fiori KKAQ: Display Work in Process - Orders - Collective,
Fiori KKAS: Calculate Work in Process - Product Cost Collectors,
Fiori KKAT: Display Work in Process - Product Cost Collectors,
Fiori KKAX: Calculate Work In Process - Order - Single for Cost Accountant - Production,
"Fiori KKAY: Display Work in Process - Orders, Display Work in Process - Product Cost Collectors",
Fiori KKBC_KUN: Analyze Sales Orders for Cost Accountant - Sales,
Fiori KKBC_ORD: Analyze Order,
Fiori KKF5: Display Plan Values - Orders,
Fiori KKF6N: Maintain Product Cost Collectors for Cost Accountant - Production,
Fiori KKG0: Display Cutoff Period - Orders,
Fiori KKS1: Run Variance Calculation - Orders - By Lot,
Fiori KKS2: Run Variance Calculation - Order - Single for Cost Accountant - Production,
Fiori KO01: Create Internal Order for Cost Accountant - Overhead,
Fiori KO02: Change Order for Cost Accountant - Overhead,
Fiori KO03: Display Internal Order for Cost Accountant - Overhead,
"Fiori KO04: Manage Internal Orders, Order Manager for Cost Accountant - Overhead",
Fiori KO22: Edit Original Budget - Internal Orders,
Fiori KO23: Display Original Budget - Internal Orders,
Fiori KO24: Edit Budget Supplements - Internal Orders,
Fiori KO25: Display Budget Supplements - Internal Orders,
"Fiori KO2B: Display Budget Documents - Internal Orders, Display budget document",
Fiori KO30: Activate Availability Control - Internal Orders,
Fiori KO32: Deactivate Availability Control - Internal Orders,
Fiori KO88: Run Actual Settlement - Order - Single. Run Actual Settlement - Product Cost Collectors. Run Settlement - Maintenance Orders – Actual for Cost Accountant - Production,
Fiori KO8G: Run Actual Settlement - Internal Orders,
Fiori KOB1: Display Cost Line Items - Orders - Actual,
Fiori KOB2: Display Commitment Line Items - Orders,
Fiori KOB2N: Display Commitment Line Items - Orders (Optimized),
"Fiori KOB3: Display Variance Line Items - Orders, Display Variance Line Items - Product Cost Collectors",
Fiori KOB4: Display Budget Line Items - Orders,
"Fiori KOB8: Display Results Analysis Line Items - Orders, Display Results Analysis Line Items - Sales Orders",
"Fiori KOC4: Cost Analysis for Orders, Select Orders",
"Fiori KOCO: Budget Carryforward for Orders, Carry Forward Commitments - Orders - Collective",
Fiori KONK: Edit Ranges - Orders,
Fiori KOSRLIST_OR: List Settlement Rules - Internal Orders,
"Fiori KOSRLIST_PP: Display Settlement Rules - Production Orders, List Settlement Rules - Internal Orders",
Fiori KOSRLIST_PR: Display Settlement Rules - Projects,
Fiori KP04:Set Planner Profile,
Fiori KP26: Edit Prices for Activity Types - Cost Centers for Cost Accountant - Overhead,
Fiori KP27: Display Plan Data for Activity Types,
Fiori KPZ2: Edit Budget Plan - Cost Centers,
Fiori KSB1: Display Cost Line Items - Cost Centers - Actual,
Fiori KSB2: Display Commitment Line Items - Cost Centers,
Fiori KSB5N: Display Actual Cost Documents for Cost Accountant - Overhead,
Fiori KSBT: Analyze Prices for Activity Types - Cost Centers for Cost Accountant - Overhead,
Fiori KSC3: Display Activity Allocation Cycles - Indirect Allocation - Actual,
Fiori KSH2: Manage Cost Center Groups for Cost Accountant - Overhead,
Fiori KSII: Actual Cost Rate Calculation - Cost Centers,
Fiori KSPI: Run Plan Price Calculation - Cost Centers,
Fiori KSS2: Split Costs - Cost Centers - Actual,
Fiori KSS4: Split Costs - Cost Centers - Plan,
Fiori KSU1: Create Overhead Allocation Cycles - Cost Centers - Actual for Cost Accountant - Overhead,
Fiori KSU2: Edit Overhead Allocation Cycles - Cost Centers - Actual for Cost Accountant - Overhead,
Fiori KSU3: Display Overhead Allocation Cycles - Cost Centers - Actual for Cost Accountant - Overhead,
Fiori KSU4: Delete Overhead Allocation Cycles - Cost Centers - Actual for Cost Accountant - Overhead,
Fiori KSU5: Run Overhead Allocation - Cost Centers - Actual for Cost Accountant - Overhead,
Fiori KSU6: Actual Assessment: Overview for Cost Accountant - Overhead,
Fiori KSV1: Create Distribution Cycles - Cost Centers - Actual,
Fiori KSV2: Edit Distribution Cycles - Cost Centers - Actual,
Fiori KSV3: Display Distribution Cycles - Cost Centers - Actual,
Fiori KSV4: Delete Distribution Cycles - Cost Centers - Actual,
Fiori KSV5: Run Cost Distribution - Cost Centers - Actual,
Fiori KSV6: Display Distribution Overview - Cost Centers - Actual,
Fiori KVBI: Display Actual Cost Line Items - Sales Orders for Cost Accountant - Sales,
Fiori LB01: Create Transfer Requirement,
Fiori LB02: Change Transfer Requirement,
Fiori LB03: Display Transfer Requirement,
Fiori LB10: Display Transfer Requirements - List for Storage Type,
Fiori LB11: Display Transfer Requirements - List for Material,
Fiori LB12: TRs and Posting Change for Mat.Doc.,
Fiori LB13: TRs for Requirement,
Fiori LI01N: Create System Inventory Record,
Fiori LI02N: Change Inventory Record,
Fiori LI03N: Display Inventory Record,
Fiori LI04: Print System Inventory Record,
Fiori LI06: Block stor.types for annual invent.,
Fiori LI11N: Enter Inventory Count,
Fiori LI12N: Change Inventory Count,
Fiori LI13N: Display Inventory Count,
Fiori LI14: Start Inventory Recount,
Fiori LICC: Cycle Counting per Quant,
Fiori LL01: Warehouse Activity Monitor,
Fiori LP10: Direct picking for PO,
Fiori LQS12: Process Task,
Fiori LS01N: Create Warehouse Master Record,
Fiori LS02N: Change Warehouse Master Record,
Fiori LS03N: Display Warehouse Master Record,
Fiori LS04: Display Empty Storage Bins,
Fiori LS06: Block Storage Bins,
Fiori LS07: Block Quants,
Fiori LS08: Block Storage Bins by Aisle,
Fiori LS11: Change several stor.bins simultan.,
Fiori LS23: Display Quants,
Fiori LS24: Display Quants for Material,
Fiori LS26: Warehouse Stocks - Overview for Material,
Fiori LT01: Create Transfer Order - Without Reference,
Fiori LT03: Create Transfer Order - Outbound Delivery,
Fiori LT04: Create Transfer Order - Transfer Requirement,
Fiori LT05: Create Transfer Order - Posting Change,
Fiori LT06: Create Transfer Order - Material Document,
Fiori LT0F: Create Transfer Order - Inbound Delivery,
Fiori LT0G: Return delivery to stock,
Fiori LT10: Create Transfer Order from List,
Fiori LT11: Confirm Transfer Order Item,
Fiori LT12: Confirm Transfer Order,
Fiori LT15: Cancel Transfer Order,
Fiori LT21: Display Transfer Order,
Fiori LT22: Display Transfer Order / Stor. Type,
Fiori LT23: Display Transfer Orders - List by Numbers,
Fiori LT24: Display Transfer Order / Material,
Fiori LT26: Transfer orders for storage bin,
Fiori LT27: Transfer order for storage unit,
Fiori LT31: Print Transfer Order - Manually,
Fiori LU01: Create Posting Change Notice,
Fiori LU02: Change Posting Change Notice,
Fiori LU03: Display Posting Change Notice,
Fiori LU04: Display Posting Changes,
Fiori LX01: List of Empty Storage Bins,
Fiori LX02: Stock list,
Fiori LX03: Bin Status Report,
Fiori LX04: Capacity load utilization,
Fiori LX09: Overview of All Transf.Requirements,
Fiori LX11: Document overview,
Fiori LX14: Matl mvmt frequency,
Fiori LX15: Selection of Bins for Annual Invent.,
Fiori LX16: Perform Continuous Inventory,
Fiori LX17: List of Inventory Differences,
Fiori LX22: Inventory Overview,
Fiori LX26: Perform Cycle Counting,
Fiori LX29: Fixed bin supervision,
Fiori MASSD: Mass Maintenance,
Fiori MB03: Display Material Document,
Fiori MB21: Create Reservation for Inventory Manager,
Fiori MB22: Change Reservation for Inventory Manager,
Fiori MB23: Display Reservation,
Fiori MB24: Display Reservation List for Inventory Manager,
Fiori MB25: Display Reservation List,
Fiori MB51: Display Material Document List,
Fiori MB52: Display Warehouse Stock for Inventory Manager,
Fiori MB53: Display Plant Stock Availability,
Fiori MB54: Consignment Stocks,
Fiori MB56: Display Batch Usages,
Fiori MB58: Consignment and Returnable Packaging Stocks at Customer,
Fiori MB59: Material Documents List,
Fiori MB5B: Stocks on Posting Date,
"Fiori MB5C: Pick-Up List, Pick-Up List for Batch Where-Used List",
Fiori MB5K: Check Stock Consistency,
Fiori MB5L: Display List of Stock Values,
Fiori MB5M: Shelf Life List,
Fiori MB5OA: Display Valuated GR Blocked Stock,
Fiori MB5S: Display List of GR/IR Balances,
Fiori MB5T: Display Stock in Transit for Inventory Manager,
Fiori MB5TD: Stock in Transit on Key Date,
Fiori MB5W: Display List of Stock Values,
Fiori MB90: Output Material Documents,
Fiori MBBS: Display List of Stock Values - Sales Order and Project Stock,
Fiori MBC3: Display Search Strategies - Inventory Management for Master Data Specialist - Batch Data,
Fiori MBGR: Display Material Documents with Reason for Movement,
Fiori MBLB: Stocks at Subcontractor,
Fiori MBSM: Display Cancelled Material Documents,
Fiori MD02: MRP - Single-Item. Multi-Level,
Fiori MD03: MRP-Individual Planning-Single Level,
Fiori MD04: Monitor Stock / Requirements List,
Fiori MD05: Individual Display Of MRP List - DEPRECATED,"Attention:
Deprecated for selected release version (spotted 27-08-2024)"
Fiori MD06: Collective Display Of MRP List - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 28-08-2024)"
Fiori MD09: Display Pegged Requirements,
Fiori MD11: Create Planned Order,
Fiori MD12: Change Planned Order,
Fiori MD13: Display Planned Order,
Fiori MD14: Convert Planned Order - to Purchase Requisition,
Fiori MD15: Convert Planned Orders - to Purchase Requisitions,
Fiori MD19: Firm Planned Orders,
Fiori MD21: Display Planning File Entry,
Fiori MD25: Create Planning Calendar,
Fiori MD45: MRP List Evaluation - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 09 Sep 2024)"
Fiori MD46: Eval. MRP lists of MRP controller - DEPRECATED,"Attention:
Deprecated for selected release version (Spotted 27 Aug 2024)"
Fiori MD47: Product Group Planning Evaluation,
